id,sourceType,sourceName,important,publishedAt,sentimentScore,sentimentPolarity,summary
7067437041,twitter,GotenOnNimbus,false,2014-06-06T22:35:15.631968Z,0,neutral

7068222851,twitter,lc_alerts,false,2014-06-06T23:03:57.348972Z,0,neutral

7068078031,twitter,Emily_Strong,false,2014-06-06T22:58:51.743614Z,0.45625,positive

7068068151,twitter,EricJon,false,2014-06-06T22:58:31.237673Z,0.15698873,neutral

7068016461,twitter,judysfitness,false,2014-06-06T22:56:39.603867Z,0.48,positive

7067630821,twitter,KODRURY,false,2014-06-06T22:43:55.74816Z,-0.42,negative

7067435331,twitter,alexandraa_yea,false,2014-06-06T22:37:14.883323Z,0.98,positive

7067437761,twitter,ReynaLJones,false,2014-06-06T22:36:29.631539Z,-0.032499537,neutral

7067437711,twitter,finance_agent,false,2014-06-06T22:36:08.631631Z,0,neutral

7069033001,twitter,ibrahimavci19,false,2014-06-06T23:33:30.638757Z,0,neutral

7069033001,twitter,ibrahimavci19,false,2014-06-06T23:33:30.638757Z,0,neutral

7069033001,twitter,ibrahimavci19,false,2014-06-06T23:33:30.638757Z,0,neutral, @Comcast, please bring the Ebru TV to Ellicott City... 

7069743891,twitter,tomh,false,2014-06-06T23:59:18.781354Z,0,neutral,holy shit: i bought a roku just to get hbogo on my tv: and now i find that comcast is blocking it?... https://t.co/3y21UihnBz... 

7069681801,twitter,NBCPhiladelphia,true,2014-06-06T23:56:49.551347Z,0,neutral, @joan02048 You can watch the D-Day special on COZI TV at 8p... Comcast 248: Verizon 460 or 10.2... NBC10 is also re-airing the special at 2 a.m... 

7069547361,twitter,JohnatDlel,false,2014-06-06T23:51:11.753868Z,0,neutral,Comcast takeover of Time Warner Cable to reshape U.S. pay TV... 

7069033001,twitter,ibrahimavci19,false,2014-06-06T23:33:30.638757Z,0,neutral, @Comcast: please bring the Ebru TV to Ellicott City... 

7071530221,twitter,Myrna_Soto,false,2014-06-07T01:13:19.833206Z,0.36,positive,\u201c@comcast: TV Everywhere use actually results in increased TV viewing overall   http://t.co/YRf7cRwl37\u201d Amen - not afraid of cord cutters... 

7071306381,twitter,Myrna_Soto,false,2014-06-07T01:01:37.157716Z,0.18300001,neutral,\u201c@comcast: TV Everywhere viewership has leaped 246 percent year-over-year   http://t.co/Ca4v6JHjDd\u201d amen - no afraid of cord cutters... 

7071204101,twitter,HU4_life,false,2014-06-07T00:56:16.93616Z,0,neutral, @WildStar You guys find anything wrong with Comcast in Michigan?... Because a lot people are having lag spikes... 

7071188901,twitter,HU4_life,false,2014-06-07T00:55:31.567528Z,0,neutral, @WildStar You guys find anything wrong with comcast in Michigan?... Becuase a lot of people are getting lag spikes... 

7071119201,twitter,NashMarilyn1,false,2014-06-07T00:52:08.585373Z,-0.018333346,neutral,Rest warner dead circuit burgeon vs comcast send a wire press leaning world wide web - that is slashed?:... 

7071008481,twitter,NamjaSaeki,false,2014-06-07T00:47:26.692563Z,-0.263139,negative,Regardless if  @comcast is throttling my upload speed: I'm still going to stream some CS:GO MM <3 @   http://t.co/tbLcTO4S90 LIVE NAO~!... 

7070913191,twitter,kchau,false,2014-06-07T00:43:19.48325Z,0,neutral,Comcast charges $10 just to get your TV in HD... This is 2014... Ditch Comcast and buy an Antenna already... 

7070706581,twitter,cordcutterforum,false,2014-06-07T00:35:33.186945Z,0,neutral,Comcast/Xfinity Direct Marketing Consultant   http://t.co/jLMViRIaM4  #cordcutters... 

7070581471,twitter,ItzNikhilP,false,2014-06-07T00:30:42.377221Z,0,neutral,RT  @RedScareBot: Ice Cream Socialist RT  @samwisethegrand D-Day and Saving Private Ryan isn't on tv?... Is Comcast communist?... 

7070410681,twitter,RealLifeDiva_,false,2014-06-07T00:23:11.46094Z,0.244,positive,Direct tv too RT  @darealwalt_jr: Sprint and Comcast expensive for no reason... 

7070194991,twitter,SamWiseTheGrand,false,2014-06-07T00:15:07.249394Z,0,neutral,D-Day and Saving Private Ryan isn't on tv?... Is Comcast communist?... 

7070141501,twitter,LandOfSteve,false,2014-06-07T00:12:11.901129Z,-0.5642008,negative,We finally have internet!... Sad our neighbors we've been stealing from moved today...  @comcast gets to steal $50/month from me :(... 

7070141421,twitter,nosajmunson,false,2014-06-07T00:12:10.901259Z,0,neutral,Is this  @YouTube telling me I need to switch ISPs or are they blaming  @comcast for video lag?... 

